"[[  0.20588097   0.96702365  -0.15051716  -4.42566513]
 [  0.47404105  -0.23305103  -0.84915416 -29.07113307]
 [ -0.85601104   0.10288446  -0.50670516  86.22638914]
 [  0.           0.           0.           1.        ]]"
"[[ 0.43683974  0.86178189  0.2584611  76.93902515]
 [ 0.67111269 -0.1207279  -0.73153837  8.07672901]
 [-0.59905571  0.49260201 -0.63131368 73.23864969]
 [ 0.          0.          0.          1.        ]]"
"[[ 1.44062994e-01  9.86150141e-01 -8.23116610e-02 -8.27086045e+00]
 [ 3.48725256e-01 -1.28457205e-01 -9.28370862e-01 -2.18143550e+01]
 [-9.25993449e-01  1.04691004e-01 -3.62671523e-01  1.10540944e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[ 1.73140671e-02  9.96472701e-01 -8.38613472e-02  1.76658724e+00]
 [ 9.36608963e-02 -8.50286799e-02 -9.92117603e-01 -2.83481240e+01]
 [-9.95501756e-01  8.79950825e-03 -9.52975093e-02  1.78849933e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[ 2.45178528e-01  9.58468473e-01  1.45960236e-01  4.59602478e+01]
 [ 2.64739865e-01  7.85236603e-02 -9.61091715e-01 -2.85134939e+01]
 [-9.32509182e-01  2.73817799e-01 -2.35012758e-01  1.44784968e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[ 1.12704255e-01  9.91059933e-01  7.29074090e-02  4.99026191e+01]
 [ 3.04562682e-01  3.54039210e-02 -9.51886492e-01 -4.97575936e+01]
 [-9.45724087e-01  1.29008427e-01 -2.98314473e-01  1.31916524e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[-2.24252623e-01  8.52248242e-01 -4.72568734e-01 -7.28704530e+01]
 [ 2.51825810e-01 -4.17731756e-01 -8.72987611e-01 -2.33716906e+01]
 [-9.41294415e-01 -3.15233049e-01 -1.21180355e-01  1.70401664e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[ 0.418313    0.90315041  0.09562999 46.06763319]
 [ 0.72484885 -0.26876226 -0.63401076 32.03032344]
 [-0.54692875  0.33420977 -0.7673569  59.84690788]
 [ 0.          0.          0.          1.        ]]"
"[[-3.02929374e-01  8.28702933e-01 -4.70546578e-01 -7.79769272e+01]
 [ 2.15005296e-01 -4.21534286e-01 -8.80973852e-01 -1.62135868e+01]
 [-9.28288754e-01 -3.68537156e-01 -5.07504218e-02  1.93649841e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[ 2.37774817e-01  9.54315796e-01 -1.81159976e-01 -1.72874825e+01]
 [-5.61515109e-02 -1.72717511e-01 -9.83491146e-01 -2.57563133e+01]
 [-9.69805594e-01  2.43455775e-01  1.20393386e-02  2.13250185e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[-1.03169296e-01  9.80165153e-01 -1.70246325e-01 -1.45701709e+01]
 [ 5.41712721e-02 -1.65218675e-01 -9.84963823e-01 -3.89878067e+01]
 [-9.93255064e-01 -1.11384367e-01 -3.65419895e-02  1.95716506e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
"[[-3.55071427e-01  7.41597225e-01 -5.68856818e-01 -1.12390457e+02]
 [ 4.22738764e-01 -4.15285035e-01 -8.05338223e-01  8.38723219e+00]
 [-8.33410761e-01 -5.27083508e-01 -1.66322326e-01  1.68257490e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
